Sample	posterior	ESS(posterior)	likelihood	prior
0	-8101.558500988131	N	-8097.741063213984	-3.817437774147018
1000	-5399.674093901083	2.0	-5396.573380753111	-3.1007131479718284
2000	-5399.761731566305	3.0	-5396.576538942872	-3.185192623433399
3000	-5398.430973272985	4.0	-5394.178322328761	-4.252650944224484
4000	-5397.833146121884	5.0	-5394.545552988867	-3.2875931330171397
5000	-5396.94975169909	6.0	-5394.6803895513995	-2.26936214769004
6000	-5399.722571725838	7.0	-5396.528118464842	-3.194453260995826
7000	-5396.548588610069	8.0	-5394.228802697753	-2.3197859123160107
8000	-5396.999553054823	9.0	-5394.553179915398	-2.446373139425386
9000	-5398.230333139597	9.0	-5395.150350104788	-3.0799830348088597
10000	-5398.89577812365	10.0	-5396.485765714565	-2.410012409085958
11000	-5399.6102220905705	10.5	-5396.766774016484	-2.8434480740859573
12000	-5400.669262404954	7.6	-5394.935586049432	-5.73367635552262
13000	-5399.388339176212	7.0	-5396.7628038517905	-2.625535324421211
14000	-5397.87748254811	9.0	-5395.036115750054	-2.8413667980555637
15000	-5399.869622147484	9.7	-5395.9183328389445	-3.951289308539729
16000	-5398.8345298792165	10.3	-5396.7082510640175	-2.126278815198685
17000	-5398.290532643911	11.4	-5394.383569511223	-3.906963132688742
18000	-5398.003052188523	12.2	-5394.00499563587	-3.9980565526534497
19000	-5399.897834261756	11.9	-5396.903962329415	-2.993871932340551
20000	-5397.982067678714	13.0	-5393.712500725417	-4.269566953296639
21000	-5400.628872009483	15.0	-5396.88501466646	-3.7438573430226745
22000	-5397.957142205547	17.1	-5395.561900882908	-2.3952413226392433
23000	-5396.95218239031	21.2	-5394.566204756162	-2.385977634148091
24000	-5400.966958859211	23.0	-5398.19672029595	-2.7702385632611906
25000	-5399.3429542954045	24.0	-5396.6838559606085	-2.659098334795794
26000	-5400.271186914604	24.8	-5397.6412099612635	-2.6299769533407003
27000	-5397.897590155765	26.0	-5394.247597024106	-3.64999313165959
28000	-5397.703463218308	27.0	-5395.312288291582	-2.3911749267256805
29000	-5397.472932970811	25.7	-5395.252567622027	-2.2203653487844437
30000	-5401.290949230698	28.0	-5397.797099061418	-3.493850169280201
31000	-5396.880236807629	29.0	-5394.378213621367	-2.5020231862629965
32000	-5397.708024124133	30.0	-5395.297686067199	-2.4103380569336585
33000	-5396.759862965867	31.0	-5394.307556348228	-2.4523066176388406
34000	-5398.252600073012	32.0	-5395.149933077663	-3.102666995348918
35000	-5397.380020577459	22.4	-5393.808445521826	-3.571575055632774
36000	-5397.846708113973	21.8	-5394.919012808677	-2.9276953052965826
37000	-5398.463534842994	22.3	-5396.492744483107	-1.970790359886757
38000	-5397.276363441309	20.0	-5394.6500491183015	-2.6263143230067105
39000	-5396.711551519982	17.0	-5394.098009585545	-2.61354193443714
40000	-5397.855883351301	16.7	-5395.650157795931	-2.205725555369801
41000	-5400.199531391911	21.1	-5397.156717605986	-3.042813785924669
42000	-5401.842380344286	33.5	-5395.84362603597	-5.998754308314816
43000	-5398.998126656875	32.7	-5395.361853339411	-3.636273317463378
44000	-5397.418352528552	37.0	-5394.639132396461	-2.779220132090535
45000	-5400.571238067781	29.7	-5396.459424126546	-4.111813941235283
46000	-5398.415030131097	30.9	-5395.5120130510295	-2.9030170800677313
47000	-5398.213682990279	33.1	-5394.444882760202	-3.7688002300777983
48000	-5397.342083106609	37.6	-5394.749029549212	-2.593053557396779
49000	-5398.120564030662	40.0	-5395.650591130232	-2.469972900429622
50000	-5399.247868940008	44.2	-5396.90317713133	-2.344691808677002
51000	-5397.491686377154	43.2	-5395.411060315492	-2.080626061661487
52000	-5400.135431104263	47.1	-5396.195249975888	-3.940181128375552
53000	-5399.459530059207	47.6	-5396.451403458577	-3.008126600629871
54000	-5399.921413904287	45.4	-5397.084943215289	-2.8364706889979527
55000	-5398.152600749007	47.3	-5393.999872999195	-4.152727749812566
56000	-5397.524109804754	49.2	-5394.167074691384	-3.357035113369105
57000	-5398.8816198650775	50.6	-5396.335251449466	-2.546368415611202
58000	-5399.27208186809	52.2	-5395.614746748956	-3.6573351191341192
59000	-5400.346178104025	52.4	-5397.312463046623	-3.0337150574023415
60000	-5404.55812764841	44.2	-5400.187047412766	-4.3710802356433796
61000	-5398.4048367927135	46.7	-5395.769145913272	-2.635690879441613
62000	-5398.458919040252	48.6	-5395.460323794788	-2.998595245464172
63000	-5398.063664754027	49.2	-5394.854523180587	-3.2091415734389717
64000	-5396.213417269886	48.8	-5393.937620520758	-2.275796749127924
65000	-5396.789944318399	46.3	-5394.3248462343345	-2.46509808406404
66000	-5397.580536343951	44.7	-5395.233632867897	-2.3469034760546323
67000	-5397.163206964022	43.6	-5394.282904615027	-2.880302348994344
68000	-5397.743309731716	43.3	-5394.599989312195	-3.143320419520533
69000	-5400.574907326439	43.8	-5397.515009755658	-3.059897570780338
70000	-5398.216324772605	44.7	-5394.448249657223	-3.7680751153816554
71000	-5399.502748481648	44.9	-5396.696821064522	-2.8059274171264934
72000	-5404.73035075072	47.8	-5401.816664366161	-2.9136863845598127
73000	-5400.7532805448345	44.0	-5397.108035556903	-3.6452449879320206
74000	-5400.476292762599	40.9	-5397.210585907446	-3.265706855152869
75000	-5397.336196719946	43.1	-5394.234729037967	-3.101467681979975
76000	-5400.9781840334235	44.0	-5398.247953230738	-2.730230802685459
77000	-5403.881919743534	44.6	-5395.146682916662	-8.735236826871647
78000	-5402.819111742762	36.5	-5400.389380329154	-2.429731413608591
79000	-5398.907195090911	35.8	-5395.421958255139	-3.4852368357725103
80000	-5398.49961142468	37.2	-5395.187468013868	-3.312143410811607
81000	-5399.804352319636	36.4	-5397.621425587595	-2.182926732040724
82000	-5400.391818145335	34.6	-5396.990666382577	-3.401151762758101
83000	-5397.23006841955	38.3	-5394.4395638150245	-2.7905046045253883
84000	-5401.72975592627	37.6	-5399.194610556034	-2.53514537023597
85000	-5401.174159753484	37.6	-5398.800844586698	-2.373315166785827
86000	-5397.019487566903	39.9	-5393.811469966924	-3.2080175999791494
87000	-5397.498640010758	41.5	-5394.682350969305	-2.816289041452951
