#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-11829.062470353369	-11826.338184311857	-2.7242860415119226	-11826.338184311857	0.7950236636699133	-2.7242860415119226	1.0
1000	-9736.680562350884	-9731.925047403734	-4.755514947149247	-9731.925047403734	1.0016410923277497	-4.755514947149247	1.228179048226474
2000	-9741.022171878563	-9734.392085216236	-6.630086662328328	-9734.392085216236	0.9994276955654172	-6.630086662328328	2.614538587638315
3000	-9737.773374746834	-9731.849093677401	-5.9242810694324115	-9731.849093677401	1.0453767728022916	-5.9242810694324115	2.1779902943338927
4000	-9740.161477029083	-9734.913639703502	-5.247837325581055	-9734.913639703502	0.984782964849282	-5.247837325581055	1.9510599336155963
5000	-9739.548352836464	-9733.968321190612	-5.5800316458519506	-9733.968321190612	1.0204131207184748	-5.5800316458519506	2.11568616305673
6000	-9737.997057590712	-9732.98141012618	-5.015647464531547	-9732.98141012618	1.0638527884285953	-5.015647464531547	1.2272593461060437
7000	-9741.86267978846	-9734.574095776363	-7.288584012097411	-9734.574095776363	0.9813752001246522	-7.288584012097411	3.069728912309699
8000	-9738.32113318082	-9731.480716697848	-6.840416482971106	-9731.480716697848	1.0519245166101945	-6.840416482971106	0.5857257313562177
9000	-9737.31578502418	-9732.376483641508	-4.9393013826728716	-9732.376483641508	1.0133273574870965	-4.9393013826728716	1.7661219678801894
10000	-9739.787552895528	-9733.355077906434	-6.432474989094336	-9733.355077906434	0.986815059386962	-6.432474989094336	2.7170588109178193
11000	-9743.38264613174	-9737.80166477879	-5.5809813529507775	-9737.80166477879	1.0373405168698444	-5.5809813529507775	2.3079659642388997
12000	-9739.525513536604	-9734.313463317663	-5.212050218940077	-9734.313463317663	1.056945748436993	-5.212050218940077	1.5769193814454368
13000	-9738.634674918037	-9733.230457730924	-5.40421718711267	-9733.230457730924	1.0090104564307236	-5.40421718711267	2.0338720752638224
14000	-9740.872443813489	-9735.165504775578	-5.706939037911809	-9735.165504775578	0.9933353014776186	-5.706939037911809	2.209740851772715
15000	-9740.05204205205	-9735.334891167391	-4.717150884658505	-9735.334891167391	0.9583916979918564	-4.717150884658505	1.355865855961656
16000	-9737.685539194055	-9732.199249578616	-5.486289615439137	-9732.199249578616	1.0249433888662747	-5.486289615439137	1.923075872230777
