Sample	posterior	ESS(posterior)	likelihood	prior
0	-9361.097630203367	N	-9356.448046033933	-4.6495841694348
1000	-6395.970265223455	2.0	-6392.556678104828	-3.4135871186258573
2000	-6397.700567795986	3.0	-6392.886114109932	-4.814453686053804
3000	-6397.700077963682	4.0	-6392.959810427551	-4.740267536131076
4000	-6398.989529987754	5.0	-6392.731013987618	-6.258516000136574
5000	-6399.6960768941235	6.0	-6395.34549975489	-4.350577139233652
6000	-6399.823925564468	7.0	-6396.119085795628	-3.7048397688393253
7000	-6399.175627027551	8.0	-6395.8626669717105	-3.312960055840649
8000	-6397.880460947839	9.0	-6394.20846365952	-3.671997288319162
9000	-6394.860718939493	5.1	-6392.68408849591	-2.176630443583545
10000	-6394.204282723934	4.1	-6391.84688390009	-2.357398823844021
11000	-6397.500423862202	4.5	-6394.365493989125	-3.1349298730777244
12000	-6399.210862749114	6.2	-6395.481176610808	-3.7296861383065525
13000	-6400.515968001219	6.7	-6393.786683622319	-6.729284378900026
14000	-6398.379279695548	7.0	-6393.568990878555	-4.810288816992805
15000	-6398.854180276047	7.1	-6395.534919465958	-3.3192608100886303
16000	-6394.928583609861	8.9	-6392.238572258293	-2.6900113515676614
17000	-6395.7000502836745	8.9	-6392.063324507022	-3.6367257766522587
18000	-6396.4631371200185	8.5	-6392.977046964651	-3.4860901553670884
19000	-6394.797323990078	7.7	-6392.533548493934	-2.2637754961443264
20000	-6395.536531577348	7.6	-6393.808297924807	-1.7282336525402169
21000	-6397.530707003973	8.0	-6394.954885432077	-2.5758215718954487
22000	-6397.103128830261	8.4	-6394.883131638006	-2.219997192255785
23000	-6398.1033741361025	8.8	-6394.825842900915	-3.277531235187765
24000	-6399.162501042887	9.4	-6392.4018073897905	-6.760693653096918
25000	-6396.031943341141	10.4	-6393.78255074506	-2.2493925960818113
26000	-6398.234321257536	10.9	-6393.61263035021	-4.6216909073268395
27000	-6395.943792095135	11.4	-6391.7958051482	-4.147986946934914
28000	-6398.075803662858	11.9	-6393.505008265078	-4.570795397780136
29000	-6400.321568148505	13.0	-6398.209121235459	-2.1124469130459183
30000	-6398.401846507054	13.1	-6394.975366355761	-3.426480151292671
31000	-6396.779518066495	14.1	-6394.193288251207	-2.5862298152874503
32000	-6395.369090032529	15.0	-6393.15065644538	-2.2184335871486693
33000	-6397.782088471696	15.7	-6392.96698089299	-4.815107578705154
34000	-6399.325214132652	17.1	-6394.4110995627225	-4.914114569929549
35000	-6399.511604591003	17.2	-6396.529069725445	-2.982534865557792
