#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin_evidence" name="distribution" x="@birthRate.t:alignment_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:alignment_twin_evidence" name="distribution">
#            <parameter id="kappa1.s:alignment_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:alignment_twin_evidence" name="distribution">
#            <parameter id="kappa2.s:alignment_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin_evidence" id="treeLikelihood.alignment_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin_evidence">
#            <siteModel id="SiteModel.s:alignment_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:alignment_twin_evidence" kappa1="@kappa1.s:alignment_twin_evidence" kappa2="@kappa2.s:alignment_twin_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:alignment_twin_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment_twin_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate
0	-9563.337840778931	-9563.16680965987	-9563.337840778931	0.17103111906150126	-9563.337840778931	0.19654448891309906	0.8679635566671403	2.0	0.24353728442932873	0.2639745384690673	0.24236581106604851	0.2501223660355554	3.453911921563486	6.362492718649043
1	-8384.73364183981	-8384.918251827969	-8384.73364183981	-0.1846099881588812	-8384.73364183981	0.1924027746254217	0.6900195545781345	1.2435215045082912	0.2437215145482103	0.2639745384690673	0.2514857817398443	0.240818165242878	2.7436963148032323	12.903215193032963
2	-8046.142930043516	-8041.175795402041	-8046.142930043516	4.967134641474483	-8046.142930043516	0.0621327032178264	0.4251286514710995	0.5374427041840336	0.2437215145482103	0.2639745384690673	0.24578262805696358	0.24652131892575874	7.717337507472216	18.3333834121212
3	-7765.314629851475	-7763.6993313162	-7765.314629851475	1.6152985352746845	-7765.314629851475	0.1000328442036127	2.1055571466658787	0.9028981126401403	0.24973900147489225	0.2628711124365289	0.23332939763181249	0.2540604884567663	4.951485782823239	20.151499777881895
4	-7414.899403391088	-7415.570651629328	-7414.899403391088	-0.671248238240032	-7414.899403391088	0.1932074233911098	1.9851142722713295	1.765028394204195	0.2466555925692231	0.2857856745067094	0.2102407614933288	0.25731797143073853	2.9580485350180137	6.883407665814524
5	-6784.219772341051	-6794.020293173311	-6784.219772341051	-9.800520832259869	-6784.219772341051	2.7867968981240354	2.2272871003756216	1.0376674079453452	0.26500140577935843	0.2996488855855422	0.19374962451307368	0.2416000841220255	-6.36912394867674	0.7540982837032327
6	-6416.230516645521	-6424.2567120314525	-6416.230516645521	-8.026195385931402	-6416.230516645521	1.0233722543628962	1.820448089400325	2.213758048363314	0.26118610734690734	0.29559228351544836	0.1901285050163643	0.25309310412127983	-4.28333339296689	0.7366444732172742
7	-6270.635030059197	-6276.014093158815	-6270.635030059197	-5.379063099618297	-6270.635030059197	0.41127045138015184	1.7453492753592814	1.211390345147141	0.2607600353368281	0.3019844836600796	0.18159146409475205	0.2556640169083401	-2.0743268822207224	5.588191070893995
8	-6078.014268897916	-6088.601410046192	-6078.014268897916	-10.587141148275848	-6078.014268897916	3.289936578090285	1.5654466991270657	1.000494114924991	0.2678519189462437	0.29713003948406186	0.17419889596701787	0.26081914560267644	-7.437183046798873	0.9588145005986062
9	-6000.175072721213	-6003.927789466443	-6000.175072721213	-3.7527167452295274	-6000.175072721213	0.4232366085294651	1.033618606167329	1.59332256072529	0.2663100033346763	0.29739736036457765	0.16742254436156218	0.26887009193918376	-0.5791665638429726	1.860062233052555
10	-5962.239732691119	-5969.7830924074415	-5962.239732691119	-7.543359716323167	-5962.239732691119	1.7582523934903227	1.18775445445345	1.162228962946739	0.27637537114418054	0.301837607062568	0.16294332872982858	0.2588436930634227	-4.4864234089079	0.8024582973152298
11	-5927.4767689254995	-5934.809554051733	-5927.4767689254995	-7.33278512623423	-5927.4767689254995	0.9882502796128005	2.086062872327084	1.4155632684367787	0.2738678136605047	0.29200662477403383	0.17928873788323488	0.2548368236822264	-3.8071596403445485	1.9578151747682553
12	-5903.858867007755	-5908.71127364408	-5903.858867007755	-4.852406636325444	-5903.858867007755	0.5817054202193794	3.166390262276634	1.2604538877359808	0.27633587806177645	0.28772530925128387	0.18391471201958665	0.2520241006673528	-0.9877240102509136	1.647989891292204
13	-5893.4587542175095	-5900.335381281974	-5893.4587542175095	-6.876627064464591	-5893.4587542175095	0.9283957992176296	3.509529996293218	1.689219091758499	0.2773648594586707	0.2698056209062716	0.17962224343105715	0.27320727620400037	-2.719404464795641	2.902860124377885
