#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment" name="distribution">
#            <parameter id="ucldStdev.c:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment">
#                <LogNormal S="@ucldStdev.c:alignment" id="LogNormalDistributionModel.c:alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="6" id="rateCategories.c:alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-6037.392461786867	-6026.8622327298	-10.530229057067404	-6026.8622327298	5.338179981697073	0.1	0.9966226683272238	0.00799686510968612	0.08957421775596325	-11.349593202188206	1.0
1000	-5465.924249031353	-5462.801986635757	-3.122262395595529	-5462.801986635757	1.1190702140346163	0.13093925134992251	1.0618941048120356	0.02754381410956021	0.16381756337059736	-3.7365055851872113	1.2872800551313313
2000	-5466.210795692437	-5462.823197958041	-3.3875977343959818	-5462.823197958041	1.1044867308476034	0.2101592785864078	0.9831457844141985	0.029426787336959963	0.17704908298313132	-3.5765742735680153	0.9854305167402759
3000	-5465.5426962010215	-5462.9436147887	-2.599081412321865	-5462.9436147887	0.9800590603745559	0.09540196061194763	1.0542263932026115	0.010306846064796692	0.09757023970000572	-3.452156975875549	1.2085717489780239
4000	-5464.129040190057	-5463.057779834416	-1.0712603556416092	-5463.057779834416	1.0806964327161142	0.0026174545785300155	0.99973940201177	5.444721432750225E-6	0.002333823827108457	-3.8228417925467233	1.1696606455672744
5000	-5466.031543560818	-5464.4106781758355	-1.620865384982268	-5464.4106781758355	1.1132928455786004	0.0017330860731689152	1.0000893725362519	1.8575888268520551E-6	0.0013620119778367963	-4.5645848199706975	1.6268578059343854
6000	-5463.887657965091	-5462.707165220939	-1.1804927441523758	-5462.707165220939	1.091953230012098	0.0038912886851238454	0.9992680014556916	1.2499542294584807E-5	0.003536946417929592	-3.7461725345065244	1.130221207259667
7000	-5468.3174167132065	-5465.4482348887705	-2.8691818244362723	-5465.4482348887705	1.1564526152330876	0.004046394923530268	0.9992069297634222	1.0959719486615585E-5	0.0033141181063288875	-5.416460296098278	1.9807741104194836
8000	-5466.023699134671	-5463.246768336491	-2.7769307981799134	-5463.246768336491	1.0395868547923997	0.023993990980025776	0.9978274959645385	1.2509993334480375E-4	0.011187444793901548	-4.4524753105659585	1.7244443636616036
9000	-5466.11301802948	-5462.944791696226	-3.1682263332540073	-5462.944791696226	1.1425412962061634	0.07065639602392215	0.9851882153476625	0.003477699041379395	0.0591885414145887	-4.22434235922387	1.3231252031667278
10000	-5465.471509418841	-5463.462754064055	-2.008755354786606	-5463.462754064055	1.1291293488087906	0.006094520778122044	0.9971484538729007	3.2340780895368875E-5	0.00570292441874147	-4.362107666651889	0.37295460608009556
11000	-5468.257737058811	-5465.0463145603035	-3.211422498506899	-5465.0463145603035	1.0367381403511178	0.22945168199169663	1.0243906857135046	0.04299262033098244	0.19544239908142091	-3.309446699833949	0.8529823032284384
12000	-5470.622769153565	-5468.124414744546	-2.4983544090193854	-5468.124414744546	0.9277317194425347	0.019331790862684817	0.9941261512734383	4.8109911765877494E-4	0.022016671739552553	-4.285577394757276	0.35887671371072855
13000	-5467.5713866815095	-5464.738970398596	-2.8324162829131083	-5464.738970398596	1.2386908198463193	0.04140593767197205	1.01965213114122	0.0019226628017131112	0.04323287265431938	-4.211163999413977	0.4326988080232913
14000	-5471.717805620472	-5465.505618716803	-6.212186903669344	-5465.505618716803	1.5338874244632412	0.4212130503337491	0.8708382442799014	0.04155804401520522	0.24282623761981387	-5.528418275038789	1.1893245197137263
15000	-5469.593860004872	-5463.320265287705	-6.273594717166695	-5463.320265287705	1.8221340411692688	0.5900794157379904	0.7012637400751024	0.09336582823643198	0.3966304953241853	-4.992442491613649	0.4220649046147499
16000	-5470.011502469537	-5463.513119500516	-6.4983829690212565	-5463.513119500516	1.2938516504472906	0.1946331703061558	0.8606219458351906	0.028217818119924555	0.1819457123553432	-6.763349700684213	0.12651263818829986
17000	-5465.586758025561	-5462.848553370196	-2.7382046553644193	-5462.848553370196	1.0706998911207055	0.09438454371563759	0.9936103647952365	0.005886932957027466	0.07553386880052237	-3.598880628894762	0.7434124883584461
18000	-5475.386611369	-5465.815687451585	-9.570923917414891	-5465.815687451585	1.202512076026822	0.40833693730595094	1.0996729400348304	0.10592528067943344	0.2964548769866091	-8.935164843001333	3.369405934737156
19000	-5468.0123662584165	-5464.127143291313	-3.885222967103454	-5464.127143291313	0.8121553579790051	0.4995408560375281	1.2309302180589816	0.24028874259055075	0.425720903656434	-2.917832527692236	1.1264189219996914
20000	-5470.306560806234	-5465.731786080457	-4.574774725777194	-5465.731786080457	1.2189178449387346	0.3473538363280071	0.8596590974598471	0.08552282271809182	0.3112758891164415	-4.173168179781143	0.8076223470143257
21000	-5468.862296855713	-5463.215659255285	-5.646637600428281	-5463.215659255285	1.3464162923259493	0.18192488612781305	0.9013017936288829	0.011096337220436375	0.11891853412231031	-5.975968263451246	1.7367864583376347
22000	-5464.911503275334	-5463.280994603902	-1.6305086714323087	-5463.280994603902	1.2328169836361003	0.007536496772904419	1.0036502843850283	1.7442953009619875E-5	0.004163583222588035	-3.8823112741773	0.9763046477811519
23000	-5465.94824489332	-5462.711453195467	-3.2367916978541436	-5462.711453195467	1.1160101611969864	0.14228259957095907	0.9710999397252796	0.018319772639483103	0.14304967634085652	-3.7830816535766614	0.8747840991754223
24000	-5470.751067331725	-5466.5835371810235	-4.167530150701209	-5466.5835371810235	1.134133811367872	0.2099941200304218	1.0268941981927717	0.021066302164055004	0.14387461868682316	-4.357301113616046	1.4476541517934844
25000	-5468.4431938593125	-5465.402769352681	-3.0404245066313207	-5465.402769352681	1.1249110805626084	0.11102883183305591	1.012067808208216	0.0116954111884633	0.10744381991733169	-3.7827428816258974	1.1740511916270606
26000	-5466.245817886582	-5462.8672632450325	-3.378554641548934	-5462.8672632450325	1.1210585559093662	0.18552624624447353	1.0542937909196763	0.054910066995043895	0.2296911275955727	-3.689430213137426	0.7411147259172818
27000	-5464.916279447763	-5462.374512771959	-2.541766675804319	-5462.374512771959	1.1102576395851367	0.05687811262342085	1.0332540628147617	0.001045340080909961	0.031480359728760156	-3.7338300134203513	0.57630997823462
28000	-5466.887799333533	-5464.078863351351	-2.8089359821811613	-5464.078863351351	1.1592420461013018	0.054076997675643605	0.9988397969602225	0.002730512552701311	0.05183606336354154	-4.031584979303743	0.4795325729445904
29000	-5466.781382491967	-5463.525630897007	-3.255751594959686	-5463.525630897007	1.2072009748837733	0.09265557453674672	1.000709344413791	0.007248980344345244	0.0829522826992962	-4.129466822533841	1.2322962150182362
30000	-5465.231099181456	-5463.049790471009	-2.181308710446817	-5463.049790471009	1.1387341310986947	0.029885106936177023	1.0165219993090493	3.7141863722790276E-4	0.01888686249167412	-3.7403434472243804	1.0525072066058065
31000	-5467.797563742732	-5465.255133689606	-2.54243005312604	-5465.255133689606	1.0203837403874776	0.06351541665407548	1.0287281602811837	0.004142774568977132	0.06210486226627963	-3.6662984054441248	1.1464523650354477
32000	-5466.759778116664	-5464.02233717787	-2.7374409387935796	-5464.02233717787	1.0910694145462592	0.061769691119684486	0.985877676533994	0.004800567565223792	0.06877826603416325	-3.8787117284450683	1.3756981295668924
33000	-5465.467785582229	-5463.116874134303	-2.3509114479267725	-5463.116874134303	1.2285863878204422	0.04065498929474265	1.0235745321968228	8.376549356732549E-4	0.028025552512544297	-3.7400520877855166	0.8790231969580068
34000	-5465.993618141114	-5464.845114874498	-1.1485032666159705	-5464.845114874498	1.0722847359512861	0.005796908665017392	0.9976429170215951	2.8510615772170514E-5	0.005349048960399365	-3.5256849578939256	0.7753769805892978
35000	-5465.799465129648	-5464.269095503083	-1.530369626564919	-5464.269095503083	1.0799528084470011	0.012348228805865268	0.998333927010917	1.948859973014866E-4	0.014019321848992551	-3.5422478884503517	0.6716286495072261
36000	-5465.239062888236	-5463.766138745094	-1.4729241431413498	-5463.766138745094	1.0390825205149403	0.006906135299183617	1.0019117534065458	4.1702636638273235E-5	0.006440712458476169	-3.766592019598262	0.5549376339841238
37000	-5470.1727286566775	-5467.066332910096	-3.1063957465811924	-5467.066332910096	1.2654023538203558	0.013279437035199654	0.995352847903485	1.5208130534254358E-4	0.01238083178048382	-5.082362677747021	1.7803904192065716
38000	-5466.696210126897	-5463.983831583979	-2.71237854291814	-5463.983831583979	1.2649264270706846	0.0622550502227404	1.012122027574808	0.00313427540308802	0.054940695297340025	-3.848774944137234	0.7630461451593286
