Sample	posterior	ESS(posterior)	likelihood	prior
0	-6282.962329116857	N	-6276.341521471522	-6.620807645334903
1000	-5605.738133185158	2.0	-5602.694532188706	-3.0436009964527675
2000	-5604.235699248413	3.0	-5600.857695460567	-3.3780037878459943
3000	-5607.653219310111	4.0	-5600.942286226596	-6.71093308351591
4000	-5604.164906308981	5.0	-5600.030003213701	-4.134903095279642
5000	-5608.988125624532	6.0	-5602.208615289468	-6.779510335063711
6000	-5603.338189007996	7.0	-5600.59184815077	-2.7463408572261994
7000	-5604.794640169803	8.0	-5601.834203324615	-2.9604368451872602
8000	-5604.050201449582	9.0	-5600.855528669452	-3.1946727801303
9000	-5605.437596951859	9.0	-5602.2415275502235	-3.1960694016356577
10000	-5610.049548617719	10.0	-5601.98275140195	-8.066797215769288
11000	-5607.748656492875	11.0	-5604.5107453319015	-3.237911160973845
12000	-5603.596981787322	12.0	-5600.614148319289	-2.9828334680329505
13000	-5604.574286022014	13.0	-5601.34303455312	-3.231251468894465
14000	-5603.874065047489	14.0	-5600.5610361577155	-3.31302888977394
15000	-5604.211479421726	15.0	-5601.178674747167	-3.032804674558764
16000	-5604.948163795787	16.0	-5602.035492962323	-2.912670833464709
17000	-5604.715171883893	17.0	-5601.498730304237	-3.216441579656345
18000	-5605.304403915169	18.0	-5601.663266222378	-3.641137692791286
19000	-5605.866667494244	18.0	-5603.0545783843445	-2.812089109899692
20000	-5605.499264609103	19.0	-5602.737663627542	-2.761600981561396
21000	-5604.267442771778	20.0	-5600.837745403895	-3.4296973678840885
22000	-5603.540326399618	21.0	-5600.646511460051	-2.8938149395666657
23000	-5605.458208856544	22.0	-5602.580713014422	-2.8774958421221166
24000	-5604.245768551431	22.5	-5600.852550575068	-3.3932179763630526
25000	-5607.036507090423	24.0	-5602.023395356332	-5.013111734091027
26000	-5605.582524929207	25.0	-5602.762346311277	-2.8201786179300092
27000	-5603.529382810809	26.0	-5600.7426372399395	-2.7867455708693205
