"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-5422.02519379513,5.13144161354832,0.000000345504574723671,7.68693286210969
"2","GTR","relaxed_log_normal","yule",-5434.20215139088,6.06600795525016,1.77855914470124e-12,11.5030514263835
"3","GTR","strict","birth_death",-5422.50793546661,4.7255637627094,0.000000213207146633846,11.5816394891829
"4","GTR","strict","yule",-5439.51360149301,7.68420648802271,8.77677250726528e-15,4.54934017343887
"5","HKY","relaxed_log_normal","birth_death",-5436.32266801597,5.85427691331352,2.13373088171227e-13,15.753155310915
"6","HKY","relaxed_log_normal","yule",-5432.15415346322,6.20696040579588,1.37880392440413e-11,6.04482105774905
"7","HKY","strict","birth_death",-5428.89236270912,5.33029351405312,0.000000000359815805452506,8.28307196901928
"8","HKY","strict","yule",-5422.35136487495,5.26694580479414,0.000000249344332884047,6.7702735616808
"9","JC69","relaxed_log_normal","birth_death",-5411.43781841499,4.46828740688066,0.0136928076533751,6.09078871570208
"10","JC69","relaxed_log_normal","yule",-5407.46534016699,3.74111055776121,0.727307205413418,6.95191619300974
"11","JC69","strict","birth_death",-5414.50498278897,5.01853409948817,0.000637440928254583,5.34142718544219
"12","TN93","relaxed_log_normal","birth_death",-5428.21514646541,6.11177032246275,0.000000000708258041513269,10.6658045402151
"13","TN93","relaxed_log_normal","yule",-5432.72630767305,5.89592820923932,7.78070759885394e-12,7.04314878345846
"14","TN93","strict","birth_death",-5430.7311159148,5.0838062413774,5.72163126157386e-11,10.045399827343
"15","TN93","strict","yule",-5408.50032843762,3.3996535505386,0.258361736800039,6.69833370669193
