#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:true_alignment_1_evidence" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:true_alignment_1_evidence" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:true_alignment_1_evidence" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:true_alignment_1_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.true_alignment_1_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:true_alignment_1_evidence" name="distribution" x="@BDBirthRate.t:true_alignment_1_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:true_alignment_1_evidence" name="distribution" x="@BDDeathRate.t:true_alignment_1_evidence">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:true_alignment_1_evidence" name="distribution">
#            <parameter id="kappa1.s:true_alignment_1_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:true_alignment_1_evidence" name="distribution">
#            <parameter id="kappa2.s:true_alignment_1_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment_1_evidence" id="treeLikelihood.true_alignment_1_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment_1_evidence">
#            <siteModel id="SiteModel.s:true_alignment_1_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment_1_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment_1_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment_1_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:true_alignment_1_evidence" kappa1="@kappa1.s:true_alignment_1_evidence" kappa2="@kappa2.s:true_alignment_1_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:true_alignment_1_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:true_alignment_1_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment_1_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment_1_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate
0	-67054.57330350985	-67104.64223177542	-67054.57330350985	-50.06892826557291	-67054.57330350985	3.421042992992675	2.8211982943848652	2.6579228811894895	0.24371703208180817	0.2528419925476243	0.25688000514574183	0.2465609702248257	-45.76945415736827	0.8680604536546591	0.1359110751802981
1	-61280.646901401735	-61439.71180286708	-61280.646901401735	-159.06490146534333	-61280.646901401735	46.13675397645749	2.476241895890925	2.43708560760457	0.2432936628522078	0.23919361966388086	0.25611330350871353	0.2613994139751979	-154.97659361105013	0.06615638362727223	0.17190657394050357
2	-60057.64058252055	-60146.40624278601	-60057.64058252055	-88.76566026545719	-60057.64058252055	7.0168111168267995	2.0576078528506576	3.649510000648285	0.24864999142019198	0.23414555638324117	0.255805038221369	0.2613994139751979	-84.41277585251382	0.30573950939303235	0.053131039723742786
3	-59732.19566464921	-59868.672709425206	-59732.19566464921	-136.47704477599308	-59732.19566464921	33.370537642916176	1.5261463446943826	2.4878440910976325	0.2500792844010315	0.23575688289111094	0.26368830314628794	0.2504755295615697	-132.74957605719544	0.10310590564133616	0.11776288121340563
4	-59695.89142531143	-59794.28570879618	-59695.89142531143	-98.39428348475813	-59695.89142531143	11.189134250747829	4.477299555446941	3.0166262387899776	0.24230670896464976	0.23366535873195365	0.26761526797319296	0.25641266433020365	-93.42380304379766	0.18155883802651943	0.44420745792341854
5	-59693.8023848941	-59895.40018374274	-59693.8023848941	-201.5977988486387	-59693.8023848941	132.5464877002197	1.5927287693544214	5.275221686525774	0.24856037213515744	0.23522907337459398	0.2688657953277126	0.24734475916253607	-196.95305594582726	0.015525423396876507	0.42482128094324484
6	-59659.61126688625	-59901.67578152108	-59659.61126688625	-242.06451463483552	-59659.61126688625	441.19875783529926	4.25918605416381	7.819458241238621	0.23268481902242621	0.24653982028814267	0.2659467361332166	0.2548286245562146	-235.85286289215333	0.00831319295745919	0.6583974553850198
7	-59380.853019405185	-59500.97630124472	-59380.853019405185	-120.12328183954011	-59380.853019405185	18.568500699347425	2.7171709808498563	14.049543844281255	0.23268481902242621	0.24852129513617327	0.263965261285186	0.2548286245562146	-113.33354389431923	0.18225319639433166	0.17946917674671525
8	-58055.843385886124	-58190.03440636806	-58055.843385886124	-134.19102048193687	-58055.843385886124	18.26996906828306	2.9660983571522936	9.248367447698845	0.2341266759587458	0.258100441601512	0.26293267738654397	0.24484020505319826	-128.11295940910824	0.11516462808343139	0.29842630070422843
9	-57943.32382419057	-58084.23927891854	-57943.32382419057	-140.91545472796508	-57943.32382419057	35.34548827428758	1.378251868589426	8.908886360509683	0.25247054262597707	0.2585711156079477	0.24433644581518124	0.244621895950894	-135.5249047681122	0.09775384735697851	0.16853737357025397
10	-57745.02530259151	-57821.16257554159	-57745.02530259151	-76.13727295007904	-57745.02530259151	9.536448453556844	1.9236131746362573	3.184756115206323	0.2575634735373804	0.26084203551888496	0.2564206729272024	0.2251738180165323	-71.99423759482454	0.4700865519291836	0.007365713458379438
11	-57330.71407728798	-57409.15484881696	-57330.71407728798	-78.44077152897586	-57330.71407728798	8.395788165895725	1.6377361122478264	3.1509534395917664	0.25571513770063065	0.27061331949179807	0.24774833062484444	0.22592321218272696	-74.42645248814969	0.4467416405932735	0.2905427416918391
12	-57287.76767002391	-57350.04661769055	-57287.76767002391	-62.27894766663589	-57287.76767002391	4.035005383845771	2.2196023019510718	2.0684210904272824	0.22606832329947485	0.2917109717055785	0.2496099467906004	0.23261075820434637	-58.43363884509771	0.5439605685184878	0.19091290527917001
13	-57101.54556818078	-57169.20335611845	-57101.54556818078	-67.65778793767393	-57101.54556818078	7.041991097016103	1.019365512112201	2.1545711582124483	0.22296754809300673	0.29468027326053264	0.26616990401684126	0.21618227462961953	-64.26172504327913	0.5989945010467629	0.13653989018302579
14	-57051.3469619799	-57122.43223887293	-57051.3469619799	-71.08527689302856	-57051.3469619799	5.924230180719635	1.0781298167092792	2.116848060355497	0.19653967965620658	0.3226605442319345	0.26037506798564847	0.22042470812621057	-67.68228002362098	0.5815478960938153	0.2179596915880059
