Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate	
0	-45526.41385132147	-45509.104141307456	-17.30971001401516	-45509.104141307456	1.0096373881618688	1.1260294871581134	1.1066225649468444	0.24657162203289548	0.24910031047063658	0.23855936311189116	0.2657687043845774	-14.29854902773662	1.9225848835598611	0.1273591948110162	
1	-45521.73718521259	-45503.9460993424	-17.791085870183558	-45503.9460993424	1.0071229997304747	1.1506452110321541	1.1451032066342786	0.24647941450363908	0.2513760363384695	0.24333996207277228	0.2588045870851197	-14.75545157622921	1.851602201002867	0.14078371726039102	
2	-45521.73718521259	-45503.9460993424	-17.791085870183558	-45503.9460993424	1.0071229997304747	1.1506452110321541	1.1451032066342786	0.24647941450363908	0.2513760363384695	0.24333996207277228	0.2588045870851197	-14.75545157622921	1.851602201002867	0.14078371726039102	
3	-45522.16852960014	-45503.51090871647	-18.657620883670646	-45503.51090871647	1.025166316822868	1.1506452110321541	1.1451032066342786	0.25741253234618977	0.2437004297513007	0.24333996207277228	0.2555470758297378	-15.621986589716299	1.5110366937015285	0.07751045264888395	
4	-45519.682552352846	-45501.53390646229	-18.148645890556164	-45501.53390646229	1.0050567810922508	1.0772821070083358	1.0657096702301736	0.2479916421278408	0.2513473167884927	0.24116696051936656	0.2594940805643005	-15.171702780288998	2.319205968559709	0.07655948015982376	
5	-45519.682552352846	-45501.53390646229	-18.148645890556164	-45501.53390646229	1.0050567810922508	1.0772821070083358	1.0657096702301736	0.2479916421278408	0.2513473167884927	0.24116696051936656	0.2594940805643005	-15.171702780288998	2.319205968559709	0.07655948015982376	
6	-45519.682552352846	-45501.53390646229	-18.148645890556164	-45501.53390646229	1.0050567810922508	1.0772821070083358	1.0657096702301736	0.2479916421278408	0.2513473167884927	0.24116696051936656	0.2594940805643005	-15.171702780288998	2.319205968559709	0.07655948015982376	
7	-45519.87608840538	-45501.33605203647	-18.540036368902356	-45501.33605203647	1.0134529012030393	1.0772821070083358	1.0657096702301736	0.2479916421278408	0.2480984494893389	0.24998380287940247	0.2539261055034184	-15.56309325863519	2.4990154677941594	0.02206100823527287	
8	-45519.87608840538	-45501.33605203647	-18.540036368902356	-45501.33605203647	1.0134529012030393	1.0772821070083358	1.0657096702301736	0.2479916421278408	0.2480984494893389	0.24998380287940247	0.2539261055034184	-15.56309325863519	2.4990154677941594	0.02206100823527287	
9	-45513.977557816725	-45495.266619199836	-18.710938616891486	-45495.266619199836	1.0343072748755748	1.1394155345627537	1.0478332026397967	0.252586657639074	0.24487509874213648	0.24392539339331687	0.25861285022547315	-15.716818514680947	2.1310792024883787	0.17510756976194827	
10	-45511.016437281796	-45492.596205454705	-18.42023182709345	-45492.596205454705	0.9861029570972237	1.1394155345627537	1.0478332026397967	0.2521851606687799	0.25362076935459293	0.2398912822677238	0.2543027877089039	-15.426111724882912	1.370107950027219	0.2686187804173206	
11	-45510.85955107532	-45491.854236665466	-19.005314409853995	-45491.854236665466	1.0151460140264108	1.0904156108865153	1.0478332026397967	0.250709394955529	0.2457294062044594	0.24657161265162258	0.2569895861883895	-16.03007204326237	1.3641292200499682	0.3168383058931809	
12	-45509.01467729942	-45490.46218956535	-18.552487734073306	-45490.46218956535	1.0165239519051215	1.0975158009041655	1.0841392755812684	0.24923938440918036	0.2528031761798878	0.2420092495011446	0.2559481899097878	-15.560883661002297	1.6797177313657932	0.1291238212832186	
