Sample	posterior	ESS(posterior)	likelihood	prior
0	-78136.90822921805	N	-78141.85679364139	4.9485644233381345
1000	-45275.07759958283	2.0	-45247.79733127147	-27.280268311358807
2000	-38187.36485233154	3.0	-38176.94895388803	-10.415898443510432
3000	-35669.40410390894	4.0	-35671.73582348624	2.331719577297804
4000	-34406.55378939871	5.0	-34411.46851570423	4.9147263055211905
5000	-33794.591413158465	4.5	-33802.853902123235	8.262488964771281
6000	-33594.26687182768	4.7	-33602.65133884072	8.384467013043587
7000	-33590.589667533255	5.0	-33598.8309636705	8.241296137245099
8000	-33589.52092098762	5.4	-33598.57654416583	9.055623178207428
9000	-33584.31365487912	4.3	-33593.281234602466	8.967579723339513
10000	-33578.191599070386	4.7	-33587.69475373485	9.503154664465587
11000	-33579.06025841776	5.1	-33587.575164298665	8.514905880905939
12000	-33574.70309239767	5.5	-33583.29481123945	8.591718841777086
13000	-33579.083383140656	5.9	-33587.94307346678	8.859690326119573
14000	-33576.30508888732	6.4	-33585.712072754875	9.406983867554205
15000	-33573.921610420264	6.8	-33583.06068112303	9.139070702764565
16000	-33580.060084309356	7.2	-33588.844961010276	8.78487670091719
17000	-33578.19585414419	7.6	-33588.06304302179	9.867188877597174
18000	-33575.74057743487	7.9	-33583.33319805374	7.592620618869907
19000	-33571.88215724659	7.9	-33581.161650729664	9.279493483072697
20000	-33574.40010533779	8.4	-33583.30080092954	8.900695591753818
21000	-33570.13206243812	8.8	-33579.44367525353	9.311612815414842
22000	-33589.0321170566	9.2	-33596.20490562359	7.172788566986428
23000	-33588.39248194295	9.6	-33598.40058811606	10.00810617311126
24000	-33578.55405710863	10.0	-33588.65961273819	10.105555629562081
25000	-33574.44938836639	10.5	-33584.37644748096	9.9270591145688
26000	-33577.05527912478	10.9	-33585.698753891316	8.643474766532194
27000	-33580.25772970876	11.3	-33587.92890961133	7.671179902564548
28000	-33580.394714334776	11.7	-33589.06375569854	8.669041363759082
29000	-33578.04790140477	13.7	-33587.67419051857	9.62628911380572
30000	-33584.97822977622	14.2	-33592.904538069284	7.926308293060609
31000	-33577.92693550904	14.7	-33585.285838680364	7.358903171324744
32000	-33576.076549945916	15.2	-33585.61515686053	9.53860691460995
33000	-33586.05466490753	15.7	-33593.990542890606	7.935877983073504
34000	-33579.09423881015	16.2	-33587.86965728053	8.775418470381338
35000	-33577.151431826096	16.7	-33584.26230121809	7.110869391997038
36000	-33581.54895357648	17.2	-33588.86857693614	7.319623359657532
37000	-33578.5778337379	17.7	-33587.68459174431	9.106758006410365
38000	-33571.977015024204	18.2	-33580.475500574335	8.498485550128747
39000	-33571.02642504859	22.5	-33580.365370044645	9.33894499605554
40000	-33568.78710943388	23.1	-33577.92815655012	9.141047116248195
41000	-33578.76048370556	23.7	-33586.9847420414	8.224258335838014
42000	-33580.8916381886	24.3	-33589.42450940191	8.532871213314197
43000	-33566.55726531417	24.8	-33575.77480781926	9.21754250508564
44000	-33571.2491099899	25.4	-33579.49663702483	8.247527034934452
45000	-33566.60690693367	26.0	-33575.59833940766	8.99143247398571
46000	-33569.194521811914	26.6	-33579.32102007108	10.12649825916739
47000	-33568.14334070886	27.1	-33577.25051159368	9.107170884816158
48000	-33569.18919186713	27.7	-33573.46475198367	4.275560116538015
49000	-33569.99274332278	28.2	-33579.85109866373	9.858355340951547
50000	-33580.9174933245	28.8	-33589.72945946272	8.81196613821858
51000	-33581.29707988088	29.4	-33590.32877322802	9.031693347139854
52000	-33576.42769112544	29.9	-33584.04150357191	7.613812446468252
53000	-33571.61797126314	30.4	-33579.52935980994	7.9113885467957665
