#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin_alignment_4" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin_alignment_4" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin_alignment_4" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_4" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_4" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin_alignment_4" name="distribution" x="@BDBirthRate.t:twin_alignment_4">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin_alignment_4" name="distribution" x="@BDDeathRate.t:twin_alignment_4">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_4" id="treeLikelihood.twin_alignment_4" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_4">
#            <siteModel id="SiteModel.s:twin_alignment_4" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_4" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_4" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_4" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment_4" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_4" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_4" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-11393.442145920488	-11386.300781738144	-7.141364182343853	-11386.300781738144	1.9988220373562355	-7.141364182343853	1.0	0.5
1000	-6782.512343948293	-6780.7848269383085	-1.7275170099849047	-6780.7848269383085	0.8107477838023811	-1.7275170099849047	2.25981300204846	0.2358560614596308
2000	-6782.574373260392	-6779.907757594403	-2.6666156659893097	-6779.907757594403	0.8189529723961758	-2.6666156659893097	2.3489040823015177	0.5717447992820852
3000	-6780.307157464351	-6776.54124185334	-3.765915611011662	-6776.54124185334	0.9777201527094967	-3.765915611011662	2.230526057765963	0.6884116646199829
4000	-6777.708392139122	-6776.043089587774	-1.6653025513476563	-6776.043089587774	0.8677822199517783	-1.6653025513476563	1.2527928106362758	0.5665329511898152
5000	-6784.10324814149	-6782.769383719981	-1.3338644215089683	-6782.769383719981	0.8512521668112439	-1.3338644215089683	0.9945975572061354	0.6110161446488146
6000	-6779.85746966049	-6778.183176544577	-1.674293115913263	-6778.183176544577	0.8772615294639626	-1.674293115913263	0.8532739321782695	0.64499251651332
7000	-6780.498407677111	-6778.501664341203	-1.9967433359082334	-6778.501664341203	0.9412700230323623	-1.9967433359082334	0.633805544691898	0.7582576614148174
8000	-6779.3775384501805	-6777.523255104437	-1.8542833457433818	-6777.523255104437	0.9211845973982379	-1.8542833457433818	1.4957384835907173	0.32967451091620187
9000	-6779.254355982918	-6777.048667640716	-2.205688342202201	-6777.048667640716	0.9488437029638467	-2.205688342202201	2.0762471683913906	0.34461713454691595
10000	-6781.158822100827	-6779.435320124654	-1.7235019761725254	-6779.435320124654	0.7859768927079813	-1.7235019761725254	2.4410132913522204	0.48316046360798515
11000	-6781.3804238647945	-6779.229394225013	-2.1510296397816613	-6779.229394225013	1.0006335237890445	-2.1510296397816613	1.5075515019354022	0.3772031712442036
12000	-6778.993882596063	-6776.43930598034	-2.5545766157224685	-6776.43930598034	0.8827012164633924	-2.5545766157224685	3.0823454577338802	0.21531735488738363
13000	-6780.748211927593	-6778.400414968136	-2.3477969594567787	-6778.400414968136	0.9258467659564057	-2.3477969594567787	2.749443568137261	0.07291090473163275
14000	-6781.610497198112	-6779.549284310815	-2.0612128872971693	-6779.549284310815	0.8772050623418867	-2.0612128872971693	2.4901032611580725	0.1533540456720259
15000	-6779.628330438816	-6777.279602940384	-2.3487274984317836	-6777.279602940384	0.9564102457644573	-2.3487274984317836	0.702825386854453	0.547956124852095
16000	-6778.280409898399	-6776.105506416198	-2.1749034822002256	-6776.105506416198	0.9385761504181536	-2.1749034822002256	1.1246460243073684	0.28034934995264066
17000	-6779.827889502256	-6777.874855827011	-1.9530336752446895	-6777.874855827011	0.8483387496547591	-1.9530336752446895	2.780092805856475	0.25580289401780776
18000	-6781.978577674975	-6778.7521087921	-3.2264688828742276	-6778.7521087921	0.9820541837161497	-3.2264688828742276	2.6516167264048525	0.39788510140933114
19000	-6779.457724232746	-6777.4866346642775	-1.9710895684685013	-6777.4866346642775	0.8820023002505859	-1.9710895684685013	0.7148677624328068	0.6495828348317998
20000	-6784.083077338057	-6782.107042923953	-1.9760344141040742	-6782.107042923953	0.8432891951994798	-1.9760344141040742	1.587473973024351	0.6221200277040445
21000	-6780.156199581367	-6778.252704781059	-1.9034948003077852	-6778.252704781059	0.9385805337004183	-1.9034948003077852	1.0325040425532463	0.5399015553738273
22000	-6780.128536611973	-6777.810173105724	-2.3183635062487777	-6777.810173105724	0.9098650663544442	-2.3183635062487777	1.0148393461588296	0.25878710678763045
23000	-6780.687183392641	-6778.870379397395	-1.8168039952464445	-6778.870379397395	0.9015512893585501	-1.8168039952464445	1.1340240793392913	0.5304015499683029
24000	-6779.777537170633	-6778.124647034559	-1.6528901360739539	-6778.124647034559	0.8349118589401945	-1.6528901360739539	1.3820890727355504	0.2833011670656541
25000	-6780.612897714714	-6779.45962826748	-1.1532694472335892	-6779.45962826748	0.7738238353401558	-1.1532694472335892	1.8151952229427226	0.3801416336706971
26000	-6781.227841586251	-6777.839143105812	-3.3886984804391584	-6777.839143105812	1.0074869305653906	-3.3886984804391584	2.6665734715664398	0.44016594711775064
27000	-6780.683321353403	-6776.6485650440245	-4.034756309378396	-6776.6485650440245	0.9220798966295747	-4.034756309378396	3.16122941740196	0.5408587402442842
28000	-6780.1598892476895	-6777.488571430889	-2.671317816800438	-6777.488571430889	0.8861018677813483	-2.671317816800438	2.866650522432229	0.30136638280663813
29000	-6777.514089310601	-6775.745016995068	-1.7690723155332533	-6775.745016995068	0.8855275702800031	-1.7690723155332533	2.1342478423423197	0.28295796844745963
30000	-6779.521492274033	-6777.314655739993	-2.2068365340399394	-6777.314655739993	0.9075386573260359	-2.2068365340399394	2.2222151016128904	0.46193995982819513
31000	-6778.8129940087365	-6777.002698162813	-1.81029584592311	-6777.002698162813	0.8984166687225069	-1.81029584592311	1.5146387423613328	0.18554509278229364
32000	-6780.3965566982315	-6778.540927889167	-1.85562880906525	-6778.540927889167	0.8536542135656672	-1.85562880906525	0.8992549172982492	0.5232176316836789
