#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:twin_alignment_1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:twin_alignment_1" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_1" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:twin_alignment_1" name="distribution" x="@birthRate.t:twin_alignment_1">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_1" id="treeLikelihood.twin_alignment_1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_1">
#            <siteModel id="SiteModel.s:twin_alignment_1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_1" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_1" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_1" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment_1" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_1" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_1" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-22721.783580457937	-22715.136344788618	-6.64723566931981	-22715.136344788618	1.7756832460670564	-6.64723566931981	1.0
1000	-15748.351909762361	-15749.970926560754	1.619016798392491	-15749.970926560754	0.8578491991602116	1.619016798392491	2.550588208685146
2000	-15318.10754342867	-15319.584980373933	1.477436945262859	-15319.584980373933	0.980968142912739	1.477436945262859	3.3090234511776506
3000	-15305.347752303387	-15306.739301977226	1.391549673838277	-15306.739301977226	0.923174691864644	1.391549673838277	4.413227586845105
4000	-15309.77620869751	-15311.832992644313	2.056783946802457	-15311.832992644313	0.9338690699936548	2.056783946802457	2.489601041393704
5000	-15302.9794883025	-15304.492789455473	1.5133011529717102	-15304.492789455473	0.8903440641907784	1.5133011529717102	2.3280250758569427
6000	-15300.454326980886	-15302.704893684466	2.2505667035794765	-15302.704893684466	0.9125507628385836	2.2505667035794765	3.7574612040892648
7000	-15301.54551992603	-15304.06991602199	2.5243960959601734	-15304.06991602199	0.8614218163969609	2.5243960959601734	3.1966725362394652
8000	-15307.316509019141	-15309.59246835904	2.2759593398993125	-15309.59246835904	0.8982665066439316	2.2759593398993125	2.744339062682756
9000	-15307.22825730442	-15308.58987807899	1.3616207745701523	-15308.58987807899	0.9248527349807881	1.3616207745701523	4.023012511853082
10000	-15307.626140090157	-15309.688227421868	2.062087331710595	-15309.688227421868	0.8519612051564026	2.062087331710595	2.441260315263057
11000	-15312.204843049421	-15314.000895258014	1.7960522085930766	-15314.000895258014	0.9859994297118505	1.7960522085930766	2.7986773726748635
12000	-15309.750407469885	-15312.602986444821	2.8525789749371704	-15312.602986444821	0.847209599221302	2.8525789749371704	2.86026916615664
13000	-15311.832537221564	-15311.765324033684	-0.06721318788034125	-15311.765324033684	0.9453735866100809	-0.06721318788034125	4.8130988722736365
14000	-15311.616621948	-15313.608975498913	1.992353550912882	-15313.608975498913	0.8571950036302024	1.992353550912882	3.705759410112086
15000	-15306.536137596955	-15308.69896193519	2.16282433823472	-15308.69896193519	0.8795322297223548	2.16282433823472	3.7156779712178722
