#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin_alignment_1_evidence" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin_alignment_1_evidence" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin_alignment_1_evidence" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin_alignment_1_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment_1_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin_alignment_1_evidence" name="distribution" x="@BDBirthRate.t:twin_alignment_1_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin_alignment_1_evidence" name="distribution" x="@BDDeathRate.t:twin_alignment_1_evidence">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:twin_alignment_1_evidence" name="distribution">
#            <parameter id="kappa1.s:twin_alignment_1_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:twin_alignment_1_evidence" name="distribution">
#            <parameter id="kappa2.s:twin_alignment_1_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.3" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment_1_evidence" id="treeLikelihood.twin_alignment_1_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment_1_evidence">
#            <siteModel id="SiteModel.s:twin_alignment_1_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment_1_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment_1_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment_1_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:twin_alignment_1_evidence" kappa1="@kappa1.s:twin_alignment_1_evidence" kappa2="@kappa2.s:twin_alignment_1_evidence" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies id="estimatedFreqs.s:twin_alignment_1_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:twin_alignment_1_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment_1_evidence" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment_1_evidence" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa1	kappa2	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	BirthDeath	BDBirthRate	BDDeathRate
0	-39694.22532117401	-39646.47354838602	-39694.22532117401	47.751772787993005	-39694.22532117401	0.04614224896581717	2.4315118787402863	3.7419351664271185	0.2522760264766746	0.2565375671065346	0.24558344821393174	0.24560295820285916	52.280717195288794	40.940757279578314	0.44283432062973377
1	-35742.52368051315	-35707.517900262545	-35742.52368051315	35.00578025060194	-35742.52368051315	0.1274259847563362	1.7080428252517652	6.749017751369658	0.25181331188433476	0.26330448960884856	0.24604616280627156	0.23883603570054512	40.068418903058664	23.443991167127837	0.6576256845370617
2	-34802.273083227316	-34755.328846427525	-34802.273083227316	46.94423679979263	-34802.273083227316	0.03319552856013253	2.258627860904408	4.842783888517692	0.2569469286760791	0.26252492133736277	0.2384790182495429	0.2420491317370152	51.73834713531466	131.87855811166835	0.3575084194001538
3	-34030.6488746561	-33987.670364179656	-34030.6488746561	42.97851047644488	-34030.6488746561	0.06363560471932284	2.0650408465858057	2.820431814505915	0.2604222366607769	0.26921075108378334	0.23389788288478358	0.23646912937065614	47.049323736145595	32.176571236059445	0.44217372271146177
4	-29445.160043508942	-29422.746249043572	-29445.160043508942	22.41379446537067	-29445.160043508942	0.22162635123659494	5.462247501712616	1.7825123271458299	0.2611144769477811	0.2804029817256641	0.2307983963396181	0.22768414498693676	27.18666610929412	8.977732623697657	0.33109695054365335
5	-24947.553645151096	-24942.33312962009	-24947.553645151096	5.2205155310075835	-24947.553645151096	0.5257990642037896	8.18002292285462	1.646115427569563	0.2574991867800782	0.29107700706587275	0.2248351810232314	0.22658862513081765	10.573694013386682	2.993185182201782	0.39505267432259394
6	-23618.5310014689	-23641.230030760362	-23618.5310014689	-22.69902929146253	-23618.5310014689	1.9418053183437483	5.565759656287226	2.668276999120516	0.24632990939473862	0.28355344241588093	0.2310801288464378	0.2390365193429427	-17.552348045183706	0.776015046679306	0.4778813547326563
7	-22742.037872369936	-22744.875020865464	-22742.037872369936	-2.837148495528311	-22742.037872369936	0.7787716905891048	2.847376558314861	1.805214347714858	0.2315240035759636	0.2913694543084756	0.24382362459780763	0.23328291751775324	1.1383958543343446	2.999175272614345	0.1994428932950495
8	-22358.25288201283	-22349.622728709644	-22358.25288201283	8.630153303183318	-22358.25288201283	0.2564809647373935	2.847376558314861	3.571533180113972	0.23605547477835453	0.28702081195977786	0.23579421420191304	0.24112949905995462	13.258247792697425	7.677197167172992	0.006613212901237244
9	-21971.562724972602	-21981.521043311914	-21971.562724972602	-9.958318339311012	-21971.562724972602	1.1968156754178072	2.8302107424821115	5.43229105375193	0.2495327471263171	0.2691051754468186	0.22637695517398004	0.2549851222528843	-4.787524606209511	2.677013837221504	0.0088951968475125
10	-21755.451403742907	-21767.39976091311	-21755.451403742907	-11.948357170203838	-21755.451403742907	1.1363290193789906	4.845350751341039	1.7921346968262324	0.2503524549666925	0.2840591090987222	0.21703403345674846	0.2485544024778369	-7.340315956682421	1.6990411991471885	6.054995062897754E-4
11	-21134.385216903585	-21143.872111919252	-21134.385216903585	-9.486895015666892	-21134.385216903585	1.2718629162603714	4.810359845120757	1.6430223659774454	0.24647776751047024	0.28069057812776405	0.21896741202042422	0.2538642423413415	-4.950059872318686	1.972408634191744	0.0024542854104719247
12	-20592.087967318363	-20604.33043673569	-20592.087967318363	-12.242469417327884	-20592.087967318363	1.4481273049060979	5.423171011072744	1.3015872895828895	0.2407199933356477	0.2857043364606412	0.22238839904715366	0.2511872711565574	-7.677848801827055	1.401272829882342	0.15967921318009992
13	-19998.167464834667	-20006.398527040517	-19998.167464834667	-8.231062205851826	-19998.167464834667	1.2555931849389235	0.9024539930368956	0.8010318511126308	0.24674965085242645	0.2872754019437773	0.23779714084113604	0.22817780636266022	-5.404593951380342	1.1130460823140995	0.6658296768938918
14	-19724.745839502262	-19740.175494237836	-19724.745839502262	-15.429654735572182	-19724.745839502262	1.5973866467920195	0.8084902886707338	1.5513006353567385	0.2524576353396029	0.29281598780139756	0.23069926969577992	0.22402710716321966	-12.347789185229471	1.5008741801564978	0.05500025945015955
