"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6738.61464400805,7.60967667594726,2.93995495810891e-12,11.2398880989252
"2","GTR","relaxed_log_normal","yule",-6750.40994960166,7.61052928252799,2.21668787188999e-17,11.7254549522187
"3","GTR","strict","birth_death",-6727.88772701734,6.31824625184658,0.000000133961972530802,7.55210926046671
"4","GTR","strict","yule",-6739.68246325587,7.6265529617393,1.01063112611612e-12,9.10979237536004
"5","HKY","relaxed_log_normal","birth_death",-6727.85368279065,6.71421744648227,0.000000138601124400678,9.52372329502065
"6","HKY","relaxed_log_normal","yule",-6722.44147359847,5.8274841969753,0.0000310641404110764,8.99561252132701
"7","HKY","strict","birth_death",-6741.57818881358,6.59660004569695,1.51806204094438e-13,6.26991066994273
"8","HKY","strict","yule",-6735.06533887251,6.62472266736177,0.000000000102278490969849,5.19662422659415
"9","JC69","relaxed_log_normal","birth_death",-6713.54107587658,4.68945667934422,0.227852059243113,7.92073590132376
"10","JC69","relaxed_log_normal","yule",-6712.37422766631,4.27435355682612,0.731827452579642,7.48997484549527
"11","JC69","strict","birth_death",-6719.84977122617,5.83476443828503,0.000414783411825548,8.16812540279205
"12","TN93","relaxed_log_normal","birth_death",-6722.83172508262,5.48512188988684,0.0000210269012182441,7.11425032041961
"13","TN93","relaxed_log_normal","yule",-6723.92774388498,5.61216829428177,0.00000702716832507682,7.45525822802578
"14","TN93","strict","birth_death",-6718.08393549355,6.04259391482604,0.00242501312904595,6.49763537244785
"15","TN93","strict","yule",-6715.34753235071,5.30080160669203,0.0374213007569414,5.65570728919643
